GWh,Jahr,Periode,Aus-/ Einfuhr
294,1950/51,Winter,Ausfuhr
333,1950/51,Winter,Einfuhr
805,1950/51,Sommer,Ausfuhr
73,1950/51,Sommer,Einfuhr
1099,1950/51,Jahr,Ausfuhr
406,1950/51,Jahr,Einfuhr
1527,1960/61,Winter,Ausfuhr
663,1960/61,Winter,Einfuhr
2877,1960/61,Sommer,Ausfuhr
263,1960/61,Sommer,Einfuhr
4404,1960/61,Jahr,Ausfuhr
926,1960/61,Jahr,Einfuhr
4322,1970/71,Winter,Ausfuhr
3708,1970/71,Winter,Einfuhr
3891,1970/71,Sommer,Ausfuhr
1734,1970/71,Sommer,Einfuhr
8213,1970/71,Jahr,Ausfuhr
5442,1970/71,Jahr,Einfuhr
9171,1980/81,Winter,Ausfuhr
7770,1980/81,Winter,Einfuhr
10699,1980/81,Sommer,Ausfuhr
2530,1980/81,Sommer,Einfuhr
19870,1980/81,Jahr,Ausfuhr
10300,1980/81,Jahr,Einfuhr
12646,1990/91,Winter,Ausfuhr
13229,1990/91,Winter,Einfuhr
13994,1990/91,Sommer,Ausfuhr
11093,1990/91,Sommer,Einfuhr
26640,1990/91,Jahr,Ausfuhr
24322,1990/91,Jahr,Einfuhr
12068,1991/92,Winter,Ausfuhr
12850,1991/92,Winter,Einfuhr
14482,1991/92,Sommer,Ausfuhr
9457,1991/92,Sommer,Einfuhr
26550,1991/92,Jahr,Ausfuhr
22307,1991/92,Jahr,Einfuhr
12824,1992/93,Winter,Ausfuhr
12879,1992/93,Winter,Einfuhr
15847,1992/93,Sommer,Ausfuhr
10341,1992/93,Sommer,Einfuhr
28671,1992/93,Jahr,Ausfuhr
23220,1992/93,Jahr,Einfuhr
16009,1993/94,Winter,Ausfuhr
13209,1993/94,Winter,Einfuhr
18240,1993/94,Sommer,Ausfuhr
9144,1993/94,Sommer,Einfuhr
34249,1993/94,Jahr,Ausfuhr
22353,1993/94,Jahr,Einfuhr
17225,1994/95,Winter,Ausfuhr
14735,1994/95,Winter,Einfuhr
18152,1994/95,Sommer,Ausfuhr
11727,1994/95,Sommer,Einfuhr
35377,1994/95,Jahr,Ausfuhr
26462,1994/95,Jahr,Einfuhr
17730,1995/96,Winter,Ausfuhr
18756,1995/96,Winter,Einfuhr
17155,1995/96,Sommer,Ausfuhr
14660,1995/96,Sommer,Einfuhr
34885,1995/96,Jahr,Ausfuhr
33416,1995/96,Jahr,Einfuhr
17687,1996/97,Winter,Ausfuhr
17989,1996/97,Winter,Einfuhr
18956,1996/97,Sommer,Ausfuhr
12204,1996/97,Sommer,Einfuhr
36643,1996/97,Jahr,Ausfuhr
30193,1996/97,Jahr,Einfuhr
20147,1997/98,Winter,Ausfuhr
20450,1997/98,Winter,Einfuhr
22109,1997/98,Sommer,Ausfuhr
16553,1997/98,Sommer,Einfuhr
42256,1997/98,Jahr,Ausfuhr
37003,1997/98,Jahr,Einfuhr
21435,1998/99,Winter,Ausfuhr
21414,1998/99,Winter,Einfuhr
23507,1998/99,Sommer,Ausfuhr
14690,1998/99,Sommer,Einfuhr
44942,1998/99,Jahr,Ausfuhr
36104,1998/99,Jahr,Einfuhr
24447,1999/00,Winter,Ausfuhr
22563,1999/00,Winter,Einfuhr
23105,1999/00,Sommer,Ausfuhr
17431,1999/00,Sommer,Einfuhr
47552,1999/00,Jahr,Ausfuhr
39994,1999/00,Jahr,Einfuhr
26852,2000/01,Winter,Ausfuhr
24551,2000/01,Winter,Einfuhr
35332,2000/01,Sommer,Ausfuhr
25683,2000/01,Sommer,Einfuhr
62184,2000/01,Jahr,Ausfuhr
50234,2000/01,Jahr,Einfuhr
30913,2001/02,Winter,Ausfuhr
32783,2001/02,Winter,Einfuhr
27388,2001/02,Sommer,Ausfuhr
21386,2001/02,Sommer,Einfuhr
58301,2001/02,Jahr,Ausfuhr
54169,2001/02,Jahr,Einfuhr
22978,2002/03,Winter,Ausfuhr
22961,2002/03,Winter,Einfuhr
23395,2002/03,Sommer,Ausfuhr
18014,2002/03,Sommer,Einfuhr
46373,2002/03,Jahr,Ausfuhr
40975,2002/03,Jahr,Einfuhr
19965,2003/04,Winter,Ausfuhr
23721,2003/04,Winter,Einfuhr
20313,2003/04,Sommer,Ausfuhr
16585,2003/04,Sommer,Einfuhr
40278,2003/04,Jahr,Ausfuhr
40306,2003/04,Jahr,Einfuhr
20123,2004/05,Winter,Ausfuhr
22981,2004/05,Winter,Einfuhr
19277,2004/05,Sommer,Ausfuhr
20939,2004/05,Sommer,Einfuhr
39400,2004/05,Jahr,Ausfuhr
43920,2004/05,Jahr,Einfuhr
21184,2005/06,Winter,Ausfuhr
28115,2005/06,Winter,Einfuhr
24412,2005/06,Sommer,Ausfuhr
21763,2005/06,Sommer,Einfuhr
45596,2005/06,Jahr,Ausfuhr
49878,2005/06,Jahr,Einfuhr
22368,2006/07,Winter,Ausfuhr
26017,2006/07,Winter,Einfuhr
28146,2006/07,Sommer,Ausfuhr
22099,2006/07,Sommer,Einfuhr
50514,2006/07,Jahr,Ausfuhr
48116,2006/07,Jahr,Einfuhr
21611,2007/08,Winter,Ausfuhr
26040,2007/08,Winter,Einfuhr
29333,2007/08,Sommer,Ausfuhr
23753,2007/08,Sommer,Einfuhr
50944,2007/08,Jahr,Ausfuhr
49793,2007/08,Jahr,Einfuhr
22389,2008/09,Winter,Ausfuhr
26761,2008/09,Winter,Einfuhr
30789,2008/09,Sommer,Ausfuhr
23446,2008/09,Sommer,Einfuhr
53178,2008/09,Jahr,Ausfuhr
50207,2008/09,Jahr,Einfuhr
27308,2009/10,Winter,Ausfuhr
32444,2009/10,Winter,Einfuhr
33956,2009/10,Sommer,Ausfuhr
30731,2009/10,Sommer,Einfuhr
61264,2009/10,Jahr,Ausfuhr
63175,2009/10,Jahr,Einfuhr
36211,2010/11,Winter,Ausfuhr
40453,2010/11,Winter,Einfuhr
40945,2010/11,Sommer,Ausfuhr
39136,2010/11,Sommer,Einfuhr
77156,2010/11,Jahr,Ausfuhr
79589,2010/11,Jahr,Einfuhr
41430,2011/12,Winter,Ausfuhr
45221,2011/12,Winter,Einfuhr
47814,2011/12,Sommer,Ausfuhr
42265,2011/12,Sommer,Einfuhr
89244,2011/12,Jahr,Ausfuhr
87486,2011/12,Jahr,Einfuhr
30396,2012/13,Winter,Ausfuhr
32835,2012/13,Winter,Einfuhr
20070,2012/13,Sommer,Ausfuhr
16010,2012/13,Sommer,Einfuhr
50466,2012/13,Jahr,Ausfuhr
48845,2012/13,Jahr,Einfuhr
18552,2013/14,Winter,Ausfuhr
20122,2013/14,Winter,Einfuhr
23449,2013/14,Sommer,Ausfuhr
17291,2013/14,Sommer,Einfuhr
42001,2013/14,Jahr,Ausfuhr
37413,2013/14,Jahr,Einfuhr
