GWh,Jahr,Aus-/ Einfuhr
948,1950,Ausfuhr
306,1950,Einfuhr
3822,1960,Ausfuhr
1306,1960,Einfuhr
9619,1970,Ausfuhr
3594,1970,Einfuhr
18128,1980,Ausfuhr
9947,1980,Einfuhr
24907,1990,Ausfuhr
22799,1990,Einfuhr
26801,1991,Ausfuhr
24005,1991,Einfuhr
26046,1992,Ausfuhr
21757,1992,Einfuhr
31053,1993,Ausfuhr
23854,1993,Einfuhr
34566,1994,Ausfuhr
22723,1994,Einfuhr
36219,1995,Ausfuhr
28948,1995,Einfuhr
34431,1996,Ausfuhr
33485,1996,Einfuhr
37409,1997,Ausfuhr
30655,1997,Einfuhr
43373,1998,Ausfuhr
37419,1998,Einfuhr
47293,1999,Ausfuhr
37064,1999,Einfuhr
46990,2000,Ausfuhr
39920,2000,Einfuhr
68407,2001,Ausfuhr
57963,2001,Einfuhr
51620,2002,Ausfuhr
47112,2002,Einfuhr
45464,2003,Ausfuhr
42352,2003,Einfuhr
38393,2004,Ausfuhr
37690,2004,Einfuhr
40734,2005,Ausfuhr
47084,2005,Einfuhr
46085,2006,Ausfuhr
48788,2006,Einfuhr
50630,2007,Ausfuhr
48568,2007,Einfuhr
51408,2008,Ausfuhr
50273,2008,Einfuhr
54159,2009,Ausfuhr
52002,2009,Einfuhr
66314,2010,Ausfuhr
66834,2010,Einfuhr
80711,2011,Ausfuhr
83298,2011,Einfuhr
89025,2012,Ausfuhr
86825,2012,Einfuhr
38604,2013,Ausfuhr
36208,2013,Einfuhr
42929,2014,Ausfuhr
37438,2014,Einfuhr
